"ID","Category","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Source","Status","Confirmed In"
"Q078","Traffic Signs","When the green light changes to amber as you approach, you should","Hurry up and cross","Apply brakes and cross","Stop before the stop line, unless you are so close that stopping safely is impossible","Cross only if no policeman is present","C","Amber means stop; you may continue only if you have crossed the line or cannot stop safely.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q079","Traffic Signs","A flashing yellow (amber) light at an intersection means","Proceed at the same speed","Stop and wait for green","Slow down and proceed only after ensuring it is safe","Give way to traffic on the left","C","A flashing amber warns of a hazard and requires caution, not a full stop.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q080","Traffic Signs","A flashing red light at an intersection means","Stop until the green light appears","Stop, observe, and proceed only when the way is clear","Reduce speed and proceed","Signal is out of order, proceed freely","B","A flashing red has the same effect as a STOP sign - halt, then proceed when safe.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q081","Traffic Signs","Which light comes after amber in a normal traffic signal cycle?","Red","Green","Blue","Flashing amber","A","The sequence is green, amber, red; amber warns that red is about to appear.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q082","Traffic Signs","A traffic police officer standing with his palm raised towards you means","Go ahead","Stop","Turn left","Turn right","B","A raised palm facing you is the signal to stop; a police officer's signal overrides the lights.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Telangana, Andhra Pradesh"
"Q084","Traffic Signs","A driver extends his right arm, palm downward, and moves it up and down several times. This means","He is turning left","He is slowing down","He is inviting you to overtake","He is stopping","B","This is the prescribed hand signal for slowing down under Regulation 13(a).","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q085","Traffic Signs","A driver raises his right forearm vertically outside the vehicle with the palm facing forward. This means","He intends to go straight","He intends to stop","He intends to turn right","He is inviting you to overtake","B","This is the prescribed hand signal for stopping under Regulation 13(b).","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q086","Traffic Signs","A driver extends his right arm horizontally with the palm turned to the front. This means","He wants the vehicle behind to stop","He intends to turn right","He wants oncoming vehicles to stop","He is slowing down","B","This is the prescribed hand signal for a right turn under Regulation 13(c).","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q087","Traffic Signs","A driver extends his right arm and rotates it in an anticlockwise direction. This means","He intends to turn left","He intends to turn right","He wants all other vehicles to stop","He intends to reverse","A","This is the prescribed hand signal for a left turn under Regulation 13(d).","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q088","Traffic Signs","A driver extends his right arm and swings it backward and forward in a semi-circular motion. This means","He intends to stop","He intends to turn right","He is inviting the vehicle behind to overtake","He is slowing down","C","This is the prescribed signal inviting the following driver to overtake, under Regulation 13(e).","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Telangana, Andhra Pradesh"
"Q089","Traffic Signs","Which hand signal is used before taking a U-turn?","Left turn signal","Slow down signal","Right turn signal","A special U-turn signal","C","A U-turn begins as a right turn, so the right turn signal is given, followed by a check of the mirror.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q091","Road Markings","A broken white line along the centre of the road means","You may not change lanes","You may cross it when it is safe to do so and return to your lane","You must stop","Overtaking is prohibited","B","A broken line is permissive; it may be crossed for overtaking when the road ahead is clear.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English) + Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q092","Road Markings","A continuous white or yellow line along the centre of the road means","You may cross it whenever you feel it is safe","You may cross it when there is no oncoming traffic","You must not cross or touch it","You may cross it only to overtake","C","A continuous centre line must not be crossed; lane changing and overtaking across it are prohibited.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English) + Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q093","Road Markings","Two continuous yellow lines in the middle of the road mean","Overtaking is permitted","You must not cross these lines to overtake or make a U-turn","Overtaking permitted but no right turn","You may change lanes with caution","B","Double solid yellow lines create an absolute prohibition on crossing from either side.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q094","Road Markings","A broken line running alongside a solid line means","Overtaking is prohibited for everyone","Traffic on the broken-line side may cross with care; traffic on the solid-line side may not","Lane changing is prohibited for everyone","Both sides may overtake freely","B","The rule applies to the line nearer your side of the road.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Telangana, Andhra Pradesh"
"Q095","Road Markings","The continuous white line painted along the edge of the road indicates","The edge of the carriageway","The approach to a hazard","No parking","No overtaking","A","Edge lines define the usable width of the carriageway, which is helpful at night and in rain.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Telangana, Andhra Pradesh"
"Q097","Road Markings","Zebra lines painted across the road are meant for","Stopping vehicles","Pedestrians to cross","Giving preference to vehicles","Marking a parking bay","B","A zebra crossing is reserved for pedestrians, who have right of way when it is uncontrolled.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q098","Road Markings","Where a road is marked into lanes, the driver","May change lanes freely when moving slowly","May change lanes only after giving the proper signal","May never change lanes","May change lanes only at night","B","Regulation 18 requires the driver to stay within the lane and signal before changing it.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English) + Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q099","Road Markings","Where a road is divided by a yellow line, vehicles overtaking each other","May cross the yellow line if the road is clear","Must not cross the yellow line","Must cross the yellow line to overtake","Must stop before overtaking","B","Regulation 18(2) prohibits vehicles travelling in the same direction from crossing the yellow line.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English) + Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Official","Telangana, Andhra Pradesh"
"Q101","Traffic Rules","The driver of a motor vehicle shall normally drive along","The right side of the road","The left side of the road, as close to it as is expedient","The centre of the road","Either side as convenient","B","Regulation 2 (Keep Left) requires the driver to keep as near the left edge as practicable.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English) + Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q102","Traffic Rules","Vehicles coming from the opposite direction should be allowed to pass on","Your right side","Your left side","Whichever side is convenient","The centre of the road","A","In left-hand traffic, oncoming vehicles pass on your right (Regulation 2).","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q103","Traffic Rules","You may normally overtake a vehicle in front","Through its right side","Through its left side","Through the left if the road is wide","From any side","A","Regulation 4 requires you to pass to the right of traffic proceeding in the same direction.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q104","Traffic Rules","You may overtake a vehicle on its left side only when","The driver of that vehicle has signalled a right turn and drawn to the centre of the road","There is enough space on the left","The vehicle is moving slowly","You are in a hurry","A","This is the sole exception permitted by Regulation 5.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q105","Traffic Rules","Overtaking is prohibited when","It is likely to cause inconvenience or danger to other traffic","The vehicle in front is slowing down","It is night time","The road is wide","A","Regulation 6(a) forbids overtaking whenever it may endanger or inconvenience others.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q107","Traffic Rules","If the driver behind you has already begun to overtake, you","May still overtake the vehicle ahead","Must not overtake","May overtake while sounding the horn","May overtake if you signal","B","Regulation 6(c) prohibits overtaking when you are yourself being overtaken.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q108","Traffic Rules","When another vehicle is overtaking you, you should","Increase your speed","Increase speed with care","Not increase speed or obstruct the other vehicle in any way","Move to the overtaking lane","C","Regulation 7 forbids the overtaken driver from doing anything to prevent the pass.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q111","Traffic Rules","While turning into a road on your left, you should","Signal left, move to the centre and turn","Sound the horn and turn","Signal left, keep close to the left side of the road and turn","Turn without signalling","C","Regulation 3(a) requires the driver to hug the left edge of both roads while turning left.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q112","Traffic Rules","While turning into a road on your right, you should","Signal right, draw near the centre of the road you are on, and arrive near the left of the road you enter","Keep to the extreme left throughout","Turn from any lane","Turn without signalling","A","This is the full procedure prescribed by Regulation 3(b).","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English) + Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Official","Telangana, Andhra Pradesh"
"Q113","Traffic Rules","You must slow down when approaching","A road intersection","A road junction","A pedestrian crossing","All of the above","D","Regulation 8 requires the driver to slow down at all of these and enter only when safe.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English) + Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Frequently Asked","Maharashtra, Telangana, Andhra Pradesh"
"Q114","Traffic Rules","When entering a main road from a branch road, you should give preference to","Vehicles coming from the left","Vehicles coming from the right","All vehicles already proceeding along the main road","No one, if you signal","C","Regulation 9 requires traffic entering a designated main road to give way.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q115","Traffic Rules","At an uncontrolled intersection with no signal or policeman, you should","Give way to traffic approaching from any road","Sound the horn and proceed","Give way to traffic approaching from your right, then proceed after signalling","Proceed at the same speed","C","Where no main road is designated, Regulation 9 gives priority to traffic on your right.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q116","Traffic Rules","When approaching a roundabout you must give way to","Cyclists","Slow-moving vehicles","Traffic on your right","Traffic on your left","C","Traffic already circulating in the roundabout approaches from your right and has priority.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q117","Traffic Rules","Free passage must be given to","Police vehicles","Ambulances and fire service vehicles","Express buses","Government vehicles","B","Regulation 10 requires every driver to draw to the side and let these vehicles pass.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q118","Traffic Rules","Near a pedestrian crossing where pedestrians are waiting to cross, you should","Sound the horn and proceed","Slow down, sound the horn and pass","Stop and wait until the pedestrians have crossed, then proceed","Speed up to clear the crossing","C","Pedestrians have right of way at uncontrolled crossings under Regulation 11.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q119","Traffic Rules","You are approaching a narrow bridge and another vehicle is about to enter it from the opposite side. You should","Increase speed and cross first","Switch on the headlight and cross","Wait until the other vehicle has crossed, then proceed","Sound the horn and drive through","C","Only one vehicle can pass at a time, so the vehicle already on or entering the bridge is allowed through.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Telangana, Andhra Pradesh"
"Q120","Traffic Rules","Before crossing an unguarded railway level crossing, the driver must","Stop on the left, get down, walk to the track and make sure no train or trolley is approaching from either side","Sound the horn and cross quickly","Switch on the headlights and cross","Ask the railway authorities about train timings","A","There is no gate or gateman, so the driver must personally verify that the line is clear.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q122","Traffic Rules","A U-turn is prohibited","On a road with no traffic restrictions","On a busy road and wherever a No U-turn sign is displayed","Only at night","Only for two wheelers","B","Regulation 12 bars U-turns where specifically prohibited and on busy traffic roads.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Telangana, Andhra Pradesh"
"Q123","Traffic Rules","You wish to take a U-turn at an intersection controlled by traffic lights. You should","Drive to another intersection with no signal","Wait until the light turns green before making the U-turn","Make the U-turn only if a policeman is present","Make the U-turn on the amber light","B","Wording varies: the Telangana bank requires waiting for green, while the Delhi bank keys this item to the presence of a police officer.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q124","Traffic Rules","On mountain and steep roads, precedence must be given to","Vehicles travelling downhill","Vehicles travelling uphill","Heavily loaded vehicles","Whichever vehicle arrives first","B","Regulation 25 requires the descending vehicle to stop and let the ascending vehicle pass.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q125","Traffic Rules","The minimum distance to be kept from the vehicle in front is","10 metres","5 metres","A distance sufficient to avoid a collision if the vehicle in front suddenly slows or stops","15 metres","C","Regulation 23 fixes no numeric figure; the safe gap depends on speed and conditions.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q126","Traffic Rules","A driver should apply the brakes abruptly","Whenever he wishes","Only when it is necessary for safety","To warn the vehicle behind","While descending a hill","B","Regulation 24 prohibits abrupt braking except where it is necessary for safety reasons.","Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Government-derived","All India (statutory - applies in every state)"
"Q128","Traffic Rules","Which type of horn is permitted on a motor vehicle?","Air horn","Multi-toned horn","Electric horn","Musical horn","C","Regulation 21 prohibits multi-toned, harsh, shrill or alarming horns.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q129","Traffic Rules","Which of the following is correct?","You should not sound the horn in silence zones","You should not use multi-toned horns","You should not drive a vehicle creating undue noise","All of the above","D","Regulation 21 imposes all three restrictions on noise from motor vehicles.","Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Official","Telangana, Andhra Pradesh"
"Q130","Traffic Rules","On which of these occasions must you stop your vehicle?","When involved in an accident","At a red traffic light","When signalled to do so by a police officer","All of the above","D","All three are mandatory stops under the Act and the Rules of the Road Regulations.","Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q131","Traffic Rules","Reversing a vehicle is prohibited","On a busy road","On a one-way road","On a roundabout","All of the above","D","Regulation 31 permits reversing only for the distance reasonably needed and only when it causes no danger.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Telangana, Andhra Pradesh"
"Q132","Traffic Rules","When you are not sure it is safe to reverse, you should","Sound the horn","Rev the engine","Get out and check, or ask someone to guide you","Reverse slowly regardless","C","The driver must satisfy himself that reversing will cause no danger before moving.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q133","Traffic Rules","When may you reverse from a side road into a main road?","Only if both roads are clear","Not at any time","At any time","Only if the main road is clear","B","Reversing into a main road is never permitted because of the danger to through traffic.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q134","Traffic Rules","Where a person in charge of an animal apprehends that the animal may become unmanageable and asks you to stop, you should","Stop the vehicle","Proceed while sounding the horn","Merely reduce speed","Ignore the request","A","The driver is required to stop, since the handler has no authority over the animal's reaction to traffic.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q135","Traffic Rules","When a blind person crosses the road holding a white cane, the driver","Should treat the white cane as a signal to stop the vehicle","Should sound the horn and proceed","Should slow down and proceed","Need take no special action","A","The white cane is recognised as a stop signal, and vehicles must halt to let the person cross.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q136","Traffic Rules","Mobile phones may not be used","In government offices","In police stations","While driving a vehicle","In parking lots","C","Using a hand-held phone while driving is an offence and a major cause of distraction.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q137","Traffic Rules","Boarding or alighting from a vehicle while it is in motion is","Permitted in buses","Permitted in auto rickshaws","Prohibited in all vehicles","Permitted if the vehicle is slow","C","It is prohibited for every class of vehicle because of the risk of falling under the wheels.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q138","Traffic Rules","Carrying more than two persons on a two wheeler is","Allowed in unavoidable circumstances","A violation of law","Allowed when traffic is light","Allowed in rural areas","B","A two wheeler may carry only the rider and one pillion passenger.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q142","Traffic Rules","A driver of a goods vehicle may carry passengers","On the trailer","On the body of the vehicle","For hire or reward","Not at all","D","A goods carriage may not be used to carry passengers for hire or reward.","Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Official","Telangana, Andhra Pradesh"
"Q147","Traffic Rules","Except for the fuel and lubricants needed by the vehicle itself, dangerous or highly inflammable substances","May be carried in any public service vehicle","May not be carried in a public service vehicle","May be carried at night only","May be carried with the conductor's permission","B","Regulation 30 prohibits carrying explosives or inflammable goods on public service vehicles.","Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Government-derived","All India (statutory - applies in every state)"
"Q148","Traffic Rules","Where a footpath or cycle track is provided, a driver","May use it when the road is congested","May use it only at night","Must not drive on it except with the permission of a police officer in uniform","May use it if he sounds the horn","C","Regulation 11 reserves footpaths and cycle tracks for pedestrians and cyclists.","Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Government-derived","All India (statutory - applies in every state)"
"Q149","Traffic Rules","While driving with headlights on high beam at night, when a vehicle approaches from the opposite direction you should","Continue, keeping to the left","Flash between dim and bright several times","Dip the headlight until the vehicle has passed","Switch the headlights off","C","Dipping prevents dazzling the oncoming driver, a common cause of night-time collisions.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q152","Traffic Rules","Pedestrians should not cross the road at sharp bends or immediately behind a stopped vehicle because","It inconveniences other vehicles","It inconveniences other pedestrians","Drivers approaching from a distance may not be able to see the person crossing","It is a punishable offence","C","Concealed pedestrians give approaching drivers no time to react.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q154","Traffic Rules","Green signal is showing in your favour but the intersection ahead is blocked. You should","Proceed anyway","Sound the horn and proceed","Wait, because entering would block the intersection","Reverse out of the junction","C","Entering a blocked junction causes gridlock and obstructs cross traffic.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Telangana, Andhra Pradesh"
"Q155","Traffic Rules","At a traffic junction the signal has turned green but pedestrians are still on the zebra crossing. You should","Move forward while sounding the horn","Wait patiently and allow the pedestrians to pass","Signal the pedestrians to stop","Turn right and go","B","Pedestrians already on the crossing must be allowed to complete it.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q156","Traffic Rules","When traffic lights are out of order, the correct precaution is to","Slow down and keep moving","Stop, look right and left, and proceed cautiously","Take no precaution","Maintain the same speed","B","With no signal in operation, ordinary right of way rules and caution apply.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q157","Traffic Rules","No load or goods may be placed on a motor vehicle in a way that","Masks a lamp, registration mark or other required mark","Increases fuel consumption","Reduces the resale value","Makes the vehicle heavier","A","Regulation 16 requires lamps and registration marks to remain visible and legible at all times.","Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Government-derived","All India (statutory - applies in every state)"
"Q158","Traffic Rules","A driver must not allow a person to sit or an object to be placed in a position that","Makes the vehicle look untidy","Hampers his control of the vehicle","Reduces the seating capacity","Blocks the rear seat","B","Regulation 26 prohibits anything that obstructs the driver's control.","Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Government-derived","All India (statutory - applies in every state)"
"Q159","Speed Limits","A speed limit sign indicates the maximum speed permitted","In ideal conditions","In all conditions including rain and fog","Only at night","Only for heavy vehicles","A","In rain, fog or heavy traffic a safe speed will be lower than the posted limit.","Transport Dept, Govt of Telangana - LLR Question Bank: Rules of Road Regulations (English)","Official","Telangana, Andhra Pradesh"
"Q160","Speed Limits","The maximum speed allowed when passing a procession, a body of troops or police on the march is","15 km/h","25 km/h","35 km/h","40 km/h","B","Regulation 27 fixes 25 km/h when passing a procession or workmen on the road.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q161","Speed Limits","When passing a stretch where workers are carrying out road repairs, your speed must not exceed","25 km/h","35 km/h","45 km/h","55 km/h","A","Regulation 27 applies the same 25 km/h limit near workmen engaged on road repair.","Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English) + Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Official","Telangana, Andhra Pradesh"
"Q162","Speed Limits","The maximum speed permitted for a vehicle towing another mechanically disabled vehicle is","60 km/h","50 km/h","24 km/h","10 km/h","C","Regulation 20(4) fixes 24 km/h for a vehicle towing another.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English) + Rules of the Road Regulations, 1989 (S.O. 439(E)); copy hosted by Maharashtra Transport Dept","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q163","Speed Limits","Under the Telangana and Andhra Pradesh learner licence bank, the maximum speed at which a two wheeler may be driven is","60 km/h","80 km/h","50 km/h","100 km/h","C","State speed schedules differ; the Delhi bank also keys the motor cycle maximum to 50 km/h.","Transport Dept, Govt of Telangana - LLR Question Bank: General Driving Principles (English)","Official","Telangana, Andhra Pradesh"
"Q172","Speed Limits","Under the 2018 central notification, the maximum speed for an M1 category vehicle (a car with up to 8 seats besides the driver) on an expressway is","100 km/h","110 km/h","120 km/h","140 km/h","C","MoRTH fixed 120 km/h for M1 vehicles on expressways; states may notify lower limits.","MoRTH Notification S.O. 1522(E) dated 06-04-2018 (revised speed limits)","Government-derived","All India (statutory - applies in every state)"
